Kilométrage,Prix,Cluster
5245.0,35999.0,1
20.0,26999.0,1
1675.0,26799.0,1
5810.0,24999.0,1
8702.0,23699.0,1
37630.0,15299.0,0
6267.0,24999.0,1
5737.0,16999.0,0
5703.0,17399.0,0
59980.0,14999.0,2
2025.0,27499.0,1
18805.0,18499.0,0
26515.0,38299.0,1
149.0,31499.0,1
43586.0,16999.0,0
5088.0,30399.0,1
10909.0,24999.0,1
51640.0,10699.0,0
67085.0,8499.0,2
81025.0,8999.0,2
17460.0,18499.0,0
18605.0,22999.0,0
9212.0,19199.0,0
34395.0,23999.0,0
16542.0,14799.0,0
57030.0,17499.0,0
7727.0,23699.0,1
78718.0,14799.0,2
50760.0,10499.0,0
88272.0,9999.0,2
6525.0,30499.0,1
57142.0,15999.0,0
84001.0,13199.0,2
128511.0,16799.0,2
62515.0,6799.0,2
71676.0,13799.0,2
53257.0,9999.0,0
99625.0,9299.0,2
26232.0,21799.0,0
2375.0,19999.0,0
56306.0,16999.0,0
14755.0,21999.0,0
96988.0,12999.0,2
22895.0,22499.0,0
18995.0,18499.0,0
46165.0,14799.0,0
68685.0,18499.0,2
65900.0,22799.0,0
23472.0,17999.0,0
21846.0,24499.0,1
22315.0,18999.0,0
9254.0,23699.0,1
36645.0,14999.0,0
38878.0,17599.0,0
2910.0,27599.0,1
42425.0,19999.0,0
33170.0,12199.0,0
99561.0,10299.0,2
27628.0,28099.0,1
81970.0,9999.0,2
75733.0,18499.0,2
230.0,20999.0,0
113548.0,8499.0,2
13252.0,21799.0,0
10.0,18699.0,0
64302.0,21499.0,0
15070.0,19999.0,0
27759.0,15999.0,0
2976.0,19999.0,0
75512.0,14499.0,2
85375.0,8999.0,2
39960.0,21499.0,0
14959.0,23999.0,1
21544.0,16699.0,0
19050.0,19699.0,0
39770.0,23999.0,0
39105.0,19999.0,0
14625.0,24399.0,1
47813.0,15499.0,0
83420.0,10499.0,2
55163.0,21699.0,0
50058.0,22499.0,0
85510.0,31999.0,1
37316.0,17999.0,0
36268.0,16299.0,0
47681.0,19999.0,0
52410.0,10799.0,0
21835.0,10799.0,0
47855.0,9999.0,0
68464.0,11499.0,2
36485.0,17499.0,0
42441.0,19999.0,0
112965.0,15299.0,2
8040.0,19499.0,0
28046.0,19999.0,0
97576.0,10299.0,2
62802.0,13399.0,2
7218.0,19499.0,0
60625.0,17499.0,0
100.0,19999.0,0
9611.0,23699.0,1
91175.0,10899.0,2
118197.0,17499.0,2
7090.0,15499.0,0
8502.0,20499.0,0
36555.0,14999.0,0
6225.0,26999.0,1
116007.0,10999.0,2
10231.0,19999.0,0
77777.0,19999.0,2
143950.0,11699.0,2
33795.0,17299.0,0
41920.0,17999.0,0
6303.0,21499.0,0
65760.0,16599.0,2
31270.0,10499.0,0
18469.0,22999.0,0
36690.0,12799.0,0
77487.0,19299.0,2
7962.0,19999.0,0
12.0,42699.0,1
68885.0,11999.0,2
80069.0,13399.0,2
17278.0,19999.0,0
8587.0,14499.0,0
47572.0,21999.0,0
40361.0,17199.0,0
49364.0,15499.0,0
40423.0,17499.0,0
33474.0,14999.0,0
10100.0,27999.0,1
6290.0,19999.0,0
15850.0,18399.0,0
13729.0,19999.0,0
116845.0,9999.0,2
64911.0,13999.0,2
6174.0,30499.0,1
9477.0,18399.0,0
62302.0,12299.0,2
9329.0,19699.0,0
74128.0,12499.0,2
59300.0,13499.0,2
7010.0,19999.0,0
34361.0,14499.0,0
7324.0,23699.0,1
15480.0,23999.0,1
142416.0,9499.0,2
20625.0,20999.0,0
39520.0,13499.0,0
40535.0,16499.0,0
69568.0,10499.0,2
106164.0,8799.0,2
76045.0,12199.0,2
45434.0,14499.0,0
35065.0,10799.0,0
73573.0,13499.0,2
58070.0,10999.0,2
84358.0,16999.0,2
64665.0,13299.0,2
13835.0,20999.0,0
46884.0,16499.0,0
82565.0,17499.0,2
82874.0,9999.0,2
12198.0,19799.0,0
84703.0,12999.0,2
50113.0,18999.0,0
21237.0,30799.0,1
44802.0,12799.0,0
85778.0,9799.0,2
100037.0,17499.0,2
8261.0,17499.0,0
73695.0,18499.0,2
26778.0,23199.0,0
65937.0,14999.0,2
36695.0,25299.0,1
36073.0,26499.0,1
19660.0,19499.0,0
28767.0,23199.0,0
10672.0,23699.0,1
48200.0,18999.0,0
87755.0,13499.0,2
33191.0,18299.0,0
94126.0,10499.0,2
20519.0,18499.0,0
4182.0,24273.0,1
21702.0,18999.0,0
43745.0,19499.0,0
74486.0,14299.0,2
58110.0,17999.0,0
76030.0,13299.0,2
63805.0,17799.0,2
59084.0,12699.0,2
73941.0,16499.0,2
80950.0,10599.0,2
53950.0,14999.0,0
15524.0,19799.0,0
16737.0,19799.0,0
54929.0,10799.0,2
36773.0,19999.0,0
110773.0,10999.0,2
35570.0,18799.0,0
125.0,20999.0,0
55488.0,15499.0,0
26302.0,18999.0,0
10614.0,19399.0,0
23872.0,20099.0,0
9043.0,30399.0,1
83338.0,15799.0,2
55715.0,13999.0,0
50340.0,15999.0,0
